id,title,location,sub_category,avatar,description,details,provider,distance,ages,price,campus,camp_type,topics,category,relevance,affordability
0,KidzToPros,Multiple Locations,Hip Hop Online Course Free Activities,https://images.activityhero.com/provider_photo/145594/tile/c45b1cae-48bc-496a-bf7c-c00a6aaea2aa.jpg,"From coding in scratch and python to LEGO Masters, graphic design, art skills, sports and more, KidzToPros takes fun and enrichment to the next level! Our…read more >",https://www.activityhero.com/biz/kidztopros,https://images.activityhero.com/59989/crop/bfc8ad6c-a2f5-48fd-b5e0-bdbbea11be47.png,7,"5, 17",140,m,STEM,"[['fun', 48.56], ['environment', 12.5], ['engage', 11.54], ['hand', 7.21], ['great', 5.29], ['local', 4.81], ['year', 3.85], ['personal', 2.4], ['perfect', 1.92], ['fill', 1.92]]",Computer Science,59.33,69.99
1,Petits Pas,Multiple Locations,Crafts Dance Yoga,https://images.activityhero.com/provider_photo/105608/tile/483c5dbb-f1b9-4220-be70-51c9d72af2f1.jpg,"By combining a variety of classes (Yoga, Ballet, Barre au sol & Modern jazz), Petits Pas celebrates our senses and teaches us to express ourselves through…read more >",https://www.activityhero.com/biz/petits-pas,https://images.activityhero.com/58965/crop/3998e0d4-85e2-4018-bd86-86747e6ff3b4.png,12.9,"5, 17",0,f,STEM,"[['base', 30.29], ['program', 21.14], ['project', 13.71], ['yoga', 9.14], ['lead', 5.71], ['innovative', 4.57], ['nature', 4.57], ['develop', 4.0], ['teach', 4.0], ['workshop', 2.86]]",Computer Science,88.07,94.98
2,Crissy Field Center Summer Camp,"Crissy Field Center - San Francisco, CA",Nature Programs Backpacking Adventure/Outdoors,https://images.activityhero.com/provider_photo/141838/tile/338673f0-3944-4deb-afb0-6d493bfb4426.JPG,"About Crissy Field CenterThe Crissy Field Center’s mission is to encourage new generations to become bold leaders for thriving parks, healthy communities,…read more >",https://www.activityhero.com/biz/2575-crissy-field-center-summer-camp-san-francisco-ca,https://images.activityhero.com/2179/crop/de986391-d511-4d13-8488-0906c029cf89.gif,23.9,",18",100,"m,f",Arts,"[['mission', 39.26], ['theatre', 9.82], ['promote', 9.2], ['performance', 7.36], ['gymnastic', 7.36], ['healthy', 6.75], ['offer', 6.13], ['training', 4.91], ['lead', 4.91], ['chef', 4.29]]",Arts and Design,86.96,43.99
3,Early Childhood Matters,Multiple Locations,Family Mindfulness Preschool,https://images.activityhero.com/provider_photo/93766/tile/0c6e86b1-993e-4110-89d9-6fb36f0a8b15.jpg,Supporting Families on the Road to Connected and Effective ParentingEarly Childhood Matters focuses on the early years (0-5) where the most crucial brain…read more >,https://www.activityhero.com/biz/early-childhood-matters,https://images.activityhero.com/57089/crop/9894cba6-28ae-4a9e-a04d-ed14005c0d05.jpg,24.6,"5,18",45,"m,f",STEM,"[['year', 36.17], ['teaching', 13.48], ['inspire', 9.93], ['teen', 8.51], ['theater', 7.09], ['kind', 6.38], ['positive', 4.96], ['method', 4.96], ['mindfulness', 4.26], ['broadway', 4.26]]",Math & Logic,32,44.13
4,Art School of SF Bay,Multiple Locations,Cartooning Visual Arts Drawing and Painting,https://images.activityhero.com/provider_photo/112974/tile/38a9ea2d-5ec0-4ba3-b6fc-25d445402224.JPG,"We teach classical art - in a modern way. Our classes are fun and effective, our methods creative and our students’ results are spectacular!We teach our…read more >",https://www.activityhero.com/biz/art-school-of-sf-bay,https://images.activityhero.com/10531/crop/1505266_502789629835885_1383645892_n.jpg,25,"5, 17",110,"m,f",STEM,"[['teach', 37.89], ['professional', 13.68], ['teacher', 10.53], ['instruction', 10.0], ['run', 6.84], ['coach', 5.26], ['parent', 4.21], ['background', 4.21], ['basic', 3.68], ['video', 3.68]]",Math & Logic,92.51,79.88
5,Quantum Martial Arts,Multiple Locations,Tumbling Martial Arts Sports,https://images.activityhero.com/provider_photo/101551/tile/d4a69829-8ffc-49bf-b3b0-40eb0771d065.jpg,Quantum Martial Arts is a nonprofit community dojo in the heart of San Francisco's Mission District. We teach non-competitive Tae Kwon Do to our kids…read more >,https://www.activityhero.com/biz/quantum-martial-arts,https://images.activityhero.com/59627/crop/a3b9a02c-3b11-4aa6-988b-c93a194db5d7.png,27.2,",18",320,"m,f",Arts,"[['mission', 39.26], ['theatre', 9.82], ['promote', 9.2], ['performance', 7.36], ['gymnastic', 7.36], ['healthy', 6.75], ['offer', 6.13], ['training', 4.91], ['lead', 4.91], ['chef', 4.29]]",Arts and Design,58.05,81.62
6,Geary Dance Center,Multiple Locations,Dance Jazz Performing Arts,https://images.activityhero.com/provider_photo/96357/tile/498bc0e3-a4f5-424a-a023-73e4c9afb6a4.jpg,"Welcome to Geary Dance Center, the San Francisco Richmond District's newest center for dance excellence! We offer a wide variety of dance classes for…read more >",https://www.activityhero.com/biz/geary-dance-center,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",31.1,"12,19",540,"m,f",Arts,"[['dance', 36.9], ['training', 12.83], ['ballet', 9.63], ['open', 8.56], ['space', 8.02], ['meet', 5.88], ['natural', 5.35], ['toddler', 4.81], ['joy', 4.81], ['west', 3.21]]",Arts and Design,41.24,99.59
7,It's Yoga Kids,Multiple Locations,Online Course Fitness Yoga,https://images.activityhero.com/provider_photo/95949/tile/bffefba9-dd87-4417-9e55-6d9308f214e4.jpg,Yoga matters NOW more than ever! Be YOUR Best with evidence-based mindset and movement practices that build healthy sustainable habits for happy…read more >,https://www.activityhero.com/biz/1058-it-s-yoga-kids-san-francisco-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",47.4,"5,18",2999,"m,f",STEM,"[['good', 21.43], ['world', 15.08], ['future', 12.7], ['individual', 10.32], ['active', 9.52], ['knowledge', 7.14], ['feature', 6.35], ['change', 6.35], ['improve', 5.56], ['benefit', 5.56]]",Computer Science,92.11,50.34
8,San Francisco Botanical Garden,"SF Botanical Garden - San Francisco, CA",Preschool Nature Programs Play/Outdoor,https://images.activityhero.com/provider_photo/139816/tile/8341c7e3-d96b-4802-9618-3ba2a93a9eab.jpg,Garden Camp registration is tentatively closed as we work to re-configure our summer sessions to meet San Francisco Health Order and Summer Camp Directive…read more >,https://www.activityhero.com/biz/san-francisco-botanical-garden-society,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",62.3,"5,25",190,"m,f",STEM,"[['age', 46.46], ['offer', 18.69], ['level', 15.66], ['beginner', 4.55], ['inspire', 4.04], ['foundation', 2.53], ['garden', 2.02], ['daily', 2.02], ['elite', 2.02], ['gain', 2.02]]",Computer Science,96.71,50.84
9,DogCamp for Kids,"Golden Gate Park - San Francisco, CA",Animals Adventure/Outdoors Mindfulness,https://images.activityhero.com/provider_photo/6219/tile/beach_tire_083.JPG,"DogCamp for Kids, 9am-3pm, brings children and dogs together in a natural setting. Drop Off/ Pick Up in Golden Gate Park, near Polo Fields. Based on our…read more >",https://www.activityhero.com/biz/19576-dogcamp-for-kids-san-francisco-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",66.3,"5,17",25,m,Sports,"[['activity', 20.12], ['include', 15.98], ['fitness', 15.98], ['performing_arts', 9.47], ['week', 8.88], ['field', 8.88], ['park', 8.88], ['exciting', 4.73], ['cultural', 4.14], ['theme', 2.96]]",Personal Development,47.05,73.42
