CTYDIST,ELEMDIST,DNAME,DCOUNTY,DSUPAREA,DPYC,DPYAV,DPYTATL,DPHONE,DFAX,DELEMSN,DELEMST,DELEMSRS,DELEMSNS,DELEMSTS,DMIDSSN,DMIDSST,DMIDSSRS,DMIDSSNS,DMIDSSTS,DJRSN,DJRST,DJRSRS,DJRSNS,DJRSTS,DHIGHSN,DHIGHST,DHIGHSRS,DHIGHSNS,DHIGHSTS,DTOTSCHL,DTOTTECH,DTOTRES,DTOTNRES,DTOTSTU,PRESTITL,PRESLN,PRESFN,PRESMI,SECTITL,SECLN,SECFN,SECMI,SDLNAME,SDFNAME,SDMINIT,SDSALUAT,DIEMAIL,URL,MO HOUSE DISTRICTS,MO SENATE DISTRICTS,US CONGRESSIONAL DISTRICTS,Location 1,Location 2
115921,,Jamaa Learning Center  (115-921),St. Louis City ,A,,,,3145657609,3147218980,1,8,72,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,72,0,72,Ms.,Allen ,Carla ,R,Mr.,Denson ,Howard ,D,Clark James,Trina,D,Ms.,tclarkjames@jamaalearningcenter.org,http://jamaalearningcenter.org,,,,"7220 N Lindbergh Suite 13
St. Louis 634022019",
48926,,Crossroads Acad Of Kansas City  (048-926),Jackson ,B,,,,8162212600,8162212601,,,,,,,,,,,,,,,,,,,,,,,,,,Mr., Moore ,Richard ,,Mrs.,Crawford ,Vichareli ,,Johnson ,Dean ,,Mr.,info@crossroadsacademykc.org,http://www.crossroadsacademykc.org,,,,"1015 Central
Kansas City 641051619
(39.10127430738265, -94.58692035143184)",
73106,,Seneca R-VII  (073-106),Newton ,C,   A,83940105.00,3.6,4177763426,4177762177,2,79,852,0,852,1,26,248,0,248,0,0,0,0,0,1,41,454,35,489,4,146,1554,35,1589,Mr.,Storrs ,Brad ,,Mrs.,Patton ,Kathy ,,Wilmoth,Steve,,Dr.,swilmoth@SENECA.K12.MO.US,http://www.seneca.k12.mo.us,"159, 160","29 , 32 ",7,"914 Frisco St.
Seneca 648659266
(36.83809017734171, -94.61049305020364)",
61154,,La Plata R-II  (061-154),Macon ,I,   A,23763529.00,4.6691,6603327001,6603327929,1,22,192,0,192,0,0,0,0,0,0,0,0,0,0,1,20,150,1,151,2,42,342,1,343,Mr.,Belt ,Matthew ,B,Mrs.,East ,Lynnette ,L,Noah ,Craig ,W,Dr.,cnoah@laplata.k12.mo.us,http://laplata.k12.mo.us,"003, 004, 005, 006",18 ,9,"201 W Moore
La Plata 635491115
(40.02344814623752, -92.4930997358025)",
43004,,Hermitage R-IV  (043-004),Hickory ,F,   A,38599702.00,3.3,4177456418,4177456475,1,20,128,0,128,1,15,74,0,74,0,0,0,0,0,1,18,80,0,80,3,53,282,0,282,Mr.,Perkins ,Scotty ,,Mrs.,Willis ,Rosalee ,,Aubuchon ,Shelly ,,Mrs.,saubuchon@hermitage.k12.mo.us,http://www.hermitage.k12.mo.us,"125, 128",28 ,4,"302 E Polk
Hermitage 656680327
(37.940438023983525, -93.31314293148898)",P.O. Box 327
96112,,University City  (096-112),St. Louis ,A,   A,603835390.00,4.9731,3142904001,3142904076,5,143,1555,0,1555,0,0,0,0,0,1,65,661,0,661,1,101,886,0,886,7,309,3102,0,3102,Mr.,Clay ,Stacy ,,Mr.,Jennings ,Rodney ,,Pruitt ,Joylynn ,L,Ms.,JPRUITT@UCITYSCHOOLS.ORG,http://www.ucityschools.org,"084, 085, 086, 087, 088","04 , 14 , 24 ",1,"8136 Groby Road
University City 631302042
(38.66812484519056, -90.34736342056664)",
5123,,Cassville R-IV  (005-123),Barry ,C,   A,157207154.00,3.32,4178472221,4178474009,2,69,865,0,865,1,45,417,0,417,0,0,0,0,0,1,51,560,31,591,4,165,1842,31,1873,Mr.,Sullivan ,John ,,Mrs.,Williams ,Stacey ,,Asbill ,Richard ,,Mr.,RASBILL@CASSVILLE.K12.MO.US,http://cassville.k12.mo.us,"138, 158",29 ,7,"1501 Main
Cassville 656251154
(36.684818950986724, -93.86502622658479)",
10091,,Centralia R-VI  (010-091),Boone ,D,   A,87732944.00,4.3595,5736823561,5736822181,2,61,614,1,615,1,30,310,0,310,0,0,0,0,0,1,37,430,4,434,4,128,1354,5,1359,Mr.,Romine ,Justin ,,Mrs.,Lawrence ,Rita ,J,Ford ,Darin ,R,Mr.,darin.ford@catnet.gen.mo.us,http://www.centralia.k12.mo.us,"040, 043, 044","10 , 19 ",9,"635 S Jefferson
Centralia 652401624
(39.20372305514126, -92.13413641870535)",
101107,,Eminence R-I  (101-107),Shannon ,G,   A,19334904.00,3.44,5732263251,5732263250,1,16,146,0,146,0,0,0,0,0,0,0,0,0,0,1,19,147,0,147,2,35,293,0,293,Mr.,Smith ,Stacy ,,Mrs.,Carolyn ,Dyer ,,Spurgin ,Armand ,,Mr.,armand.spurgin@redwingsk12.org,http://redwingsk12.org,"143, 144","03 , 16 , 25 ",8,"1 Redwing Drive
Eminence 654660730
(37.14233999979132, -91.35857999986695)",P.O. Box 730
23101,,Clark Co. R-I  (023-101),Clark ,I,   A,75862366.00,3.5,6607272377,6607272035,2,49,442,0,442,1,26,213,0,213,0,0,0,0,0,1,33,290,31,321,4,108,945,31,976,Mr.,Sprague ,Brad ,,Mrs.,Ewart ,Martha ,J,Kracht ,Ritchie ,,Mr.,rkracht@clarkcounty.k12.mo.us,http://clarkcounty.k12.mo.us,,,9,"427 W Chestnut
Kahoka 634451399
(40.422484229870896, -91.72441748306602)",
42119,Y,Davis R-XII  (042-119),Henry ,F,   A,17231791.00,3.522,6608852629,6608852648,1,10,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,26,0,26,Mr.,Hendrich ,Michael ,,Mrs.,Vaughn ,Brenda ,S,Day ,Deborah ,M,Mrs.,brendavaughn80@hotmail.com,,"057, 126",31 ,4,"227 S.W. Highway T
Clinton 647359091
(38.47491617595047, -93.79482550198419)",
81097,Y,Phelps Co. R-III  (081-097),Phelps ,G,   A,17717884.00,2.8907,5734356293,5734359489,1,19,204,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,204,0,204,Mrs.,House ,Misty ,,Mrs.,Lortz ,Thelma ,A,Heavin ,Sherry ,,Mrs.,SHEAVIN@PCR3.K12.MO.US,http://pcr3.k12.mo.us,"121, 142, 143","16 , 33 ",8,"17790 State Route M
Edgar Springs 654628305
(37.72362018674834, -91.89396387422549)",
19150,,Drexel R-IV  (019-150),Cass ,B,   A,20828688.00,5.4881,8166574715,8166574798,1,12,175,0,175,0,0,0,0,0,0,0,0,0,0,1,22,149,0,149,2,34,324,0,324,Mr.,Collins ,Chris ,,Mrs.,Smith ,Kara ,M,Johnston ,William ,E,Mr.,ksmith@drexelbobcats.net,http://www.drexel.k12.mo.us/,056,31 ,4,"207 S Fourth St.
Drexel 647420860
(38.478246800709336, -94.60531819699466)",P.O. Box 860
94086,,Central R-III  (094-086),St. Francois ,E,   A,94653278.00,4.0583,5734312616,5734312107,2,81,969,1,970,0,0,0,0,0,1,35,459,0,459,1,43,560,0,560,4,159,1988,1,1989,Mr.,Politte ,Dennis ,,Mr.,Calvird ,Ronald ,,Mayberry,Desmond,G,Dr.,dmayberry@centralr3.org,http://www.centralr3.org,"115, 116, 117",03 ,8,"200 High St.
Park Hills 636012524
(37.84788919514722, -90.52210169085964)",
108144,,Sheldon R-VIII  (108-144),Vernon ,C,   A,10500118.00,4.38,4178845113,4178845331,1,25,102,0,102,0,0,0,0,0,0,0,0,0,0,1,20,81,0,81,2,45,183,0,183,Mrs.,Moran ,Marlene ,,Mrs.,Spencer ,Audra ,,Judd,Tim,,Mr.,TJUDD@SHELDON.K12.MO.US,http://www.sheldon.k12.mo.us,"126, 127, 128","28 , 31 ",4,"100 E Gene Lathrop Drive
Sheldon 647849805
(37.649319999618456, -94.28167000037007)",
